,Unnamed: 0,emotion,quotes
1125,1126,inspirational,All the darkness in the world cannot extinguish the light of a single candle.
905,906,happiness,"If you have any young friends who aspire to become writers, the second greatest favor you can do them is to present them with copies of The Elements of Style. The first greatest, of course, is to shoot them now, while they’re happy."
1333,1334,faith,"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you."
2257,2258,religion,إذا خفيت عنا الحكمة في العذاب أحيانا.. فلأننا لا ندرك كل شيء ولا نعرف كل شيء، ولا ندرك من القصة إلا تلك المرحلة المحدودة بين قوسين اسمها الدنيا.. أما ما قبل ذلك ومابعد ذلك فهو بالنسبة لنا غيب محجوب.. ولذا يجب أن نصمت في احترام ولانطلق الأحكام..
2836,2837,god,"Lift your hips for me, love."
4275,4276,knowledge,"All explicit knowledge is translated knowledge, and all translation is imperfect."
2132,2133,religion,"The more I learn about the universe, the less convinced I am that there's any sort of benevolent force that has anything to do with it, at all."
187,187,love,"He does something to me, that boy. Every time. It’s his only detriment. He steps on my heart. He makes me cry."
1548,1549,faith,"Faith is, at one and the same time, absolutely necessary and altogether impossible."
2849,2850,god,He knew only that his child was his warrant. He said: If he is not the word of God God never spoke.
742,743,happiness,"True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing. The greatest blessings of mankind are within us and within our reach. A wise man is content with his lot, whatever it may be, without wishing for what he has not."
161,161,love,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved."
3210,3211,death,"Choking with dry tears and raging, raging, raging at the absolute indifference of nature and the world to the death of love, the death of hope and the death of beauty, I remember sitting on the end of my bed, collecting these pills and capsules together and wondering why, why when I felt I had so much to offer, so much love, such outpourings of love and energy to spend on the world, I was incapable of being offered love, giving it or summoning the energy with which I knew I could transform myself and everything around me."
1793,1794,motivational,One of the best ways to influence people is to make them feel important.
2913,2914,god,"Beloved, let us love one another, because love is from God; everyone one who loves is born of God and knows God. Whoever does not love does not know God, for God is love."
4064,4065,knowledge,Her reputation for reading a great deal hung about her like the cloudy envelope of a goddess in an epic.
950,951,happiness,"Truly amazing, what people can get used to, as long as there are a few compensations."
1732,1733,motivational,Don't wish it were easier. Wish you were better.
1421,1422,faith,"Someday, after mastering the winds, the waves, the tides and gravity, we shall harness for God the energies of love, and then, for a second time in the history of the world, man will have discovered fire."
1229,1230,inspirational,Be thankful for everything that happens in your life; it’s all an experience.
2339,2340,spirituality,A quiet conscience makes one strong!
2627,2628,spirituality,"I have had much experience with the unclean and uncivilized in the recent past. Shall I tell you what I discovered? I am not the state of my feet. I am not the dirt on my hands or the hygiene of my private parts. If I were these things, I would not have been at liberty to pray at any time since my arrest. But I did pray, because I am not these things. In the end, I am not even myself. I am a string of bones speaking the word God."
1354,1355,faith,"Believe something and the Universe is on its way to being changed. Because you've changed, by believing. Once you've changed, other things start to follow. Isn't that the way it works?"
3296,3297,death,"Now, I am become Death, the destroyer of worlds."
1310,1311,inspirational,"Pain is a pesky part of being human, I've learned it feels like a stab wound to the heart, something I wish we could all do without, in our lives here. Pain is a sudden hurt that can't be escaped. But then I have also learned that because of pain, I can feel the beauty, tenderness, and freedom of healing. Pain feels like a fast stab wound to the heart. But then healing feels like the wind against your face when you are spreading your wings and flying through the air! We may not have wings growing out of our backs, but healing is the closest thing that will give us that wind against our faces."
